idx,freq_hz,mag_counts,phase_deg,norm_db,norm_phase_deg,i_acc,q_acc,samples,adc_min,adc_max,status
0,10.0,55.039,179.987,,,-34949624169,8216899,9999924,69,184,0x00000002 DONE
1,14.919,55.038,179.986,,,-23426636048,5735879,6703031,69,184,0x00000002 DONE
2,22.258,55.038,179.985,,,-15701398705,4152180,4492644,69,184,0x00000002 DONE
3,33.206,55.037,179.984,,,-10524281822,2965116,3011370,69,184,0x00000002 DONE
4,49.54,55.039,179.982,,,-7054733502,2164510,2018549,69,184,0x00000002 DONE
5,73.908,55.039,179.98,,,-4728937188,1669180,1353065,70,184,0x00000002 DONE
6,110.263,55.037,179.976,,,-3169574642,1316161,906924,70,184,0x00000002 DONE
7,164.501,55.038,179.97,,,-2124556313,1110485,607900,70,184,0x00000002 DONE
8,245.419,55.035,179.962,,,-1423975733,939292,407463,69,184,0x00000002 DONE
9,366.139,55.038,179.948,,,-954527183,866974,273121,70,184,0x00000002 DONE
10,546.241,55.036,179.93,,,-639795740,786777,183070,70,184,0x00000002 DONE
11,814.934,55.037,179.902,,,-428847352,736740,122709,70,184,0x00000002 DONE
12,1215.797,55.036,179.858,,,-287448555,713441,82251,70,183,0x00000002 DONE
13,1813.842,55.039,179.792,,,-192683207,699931,55132,70,183,0x00000002 DONE
14,2706.063,55.034,179.701,,,-129140094,674562,36954,70,184,0x00000002 DONE
15,4037.163,55.038,179.56,,,-86566609,664232,24770,70,184,0x00000002 DONE
16,6023.026,55.037,179.357,,,-58021278,651165,16603,70,183,0x00000002 DONE
17,8985.726,55.022,179.029,,,-38878305,658795,11129,71,182,0x00000002 DONE
18,13405.764,55.023,178.558,,,-26056582,656126,7460,71,182,0x00000002 DONE
19,20000.0,55.014,177.869,,,-17454971,649581,5000,72,182,0x00000002 DONE
